video,ev_tag,t_start,t_end,duration_sec,baseline_start,baseline_end,baseline_n,baseline_mean,baseline_median,baseline_p95,event_n,event_mean,event_median,event_p95,csv_event,png_ae,png_re,png_mse,baseline_ae_mean,event_ae_mean,baseline_re_mean,event_re_mean
80f94eb526c7a9ac_00000012--e0ff8985d2--4--qcamera,evasion_01,20.699900602,22.300235782,1.600335180000002,17.699900602,20.699900602,60,11662.099031987593,6929.982861171125,37329.2955901748,33,22345.787950907215,12931.9900665347,98338.5759151808,C:\Users\maria\Escritorio\Personal\TFG\yoloVideo\mse_out_individual\80f94eb526c7a9ac_00000012--e0ff8985d2--4--qcamera__evasion_01__mse.csv,C:\Users\maria\Escritorio\Personal\TFG\yoloVideo\mse_out_individual\80f94eb526c7a9ac_00000012--e0ff8985d2--4--qcamera__evasion_01__hist_AE.png,C:\Users\maria\Escritorio\Personal\TFG\yoloVideo\mse_out_individual\80f94eb526c7a9ac_00000012--e0ff8985d2--4--qcamera__evasion_01__hist_RE.png,C:\Users\maria\Escritorio\Personal\TFG\yoloVideo\mse_out_individual\80f94eb526c7a9ac_00000012--e0ff8985d2--4--qcamera__evasion_01__hist_MSE.png,89.82254586219787,118.77584611014886,1.960168035243987,0.6016567513154093
80f94eb526c7a9ac_00000012--e0ff8985d2--4--qcamera,evasion_02,22.799176266,25.399717496,2.600541230000001,19.799176266,22.799176266,27,10223.152267296404,1974.4663489067539,47878.88634247474,52,7967.535691442054,4409.9418666400725,26103.330242653814,C:\Users\maria\Escritorio\Personal\TFG\yoloVideo\mse_out_individual\80f94eb526c7a9ac_00000012--e0ff8985d2--4--qcamera__evasion_02__mse.csv,C:\Users\maria\Escritorio\Personal\TFG\yoloVideo\mse_out_individual\80f94eb526c7a9ac_00000012--e0ff8985d2--4--qcamera__evasion_02__hist_AE.png,C:\Users\maria\Escritorio\Personal\TFG\yoloVideo\mse_out_individual\80f94eb526c7a9ac_00000012--e0ff8985d2--4--qcamera__evasion_02__hist_RE.png,C:\Users\maria\Escritorio\Personal\TFG\yoloVideo\mse_out_individual\80f94eb526c7a9ac_00000012--e0ff8985d2--4--qcamera__evasion_02__hist_MSE.png,73.510157375424,71.63924100020758,0.24524854464679963,0.27641346990575144
